paper_title,paper_authors
AdaCoF: Adaptive Collaboration of Flows for Video Frame Interpolation,"Hyeongmin Lee, Taeoh Kim, Tae-young Chung, Daehyun Pak, Yuseok Ban, Sangyoun Lee"
"On Joint Estimation of Pose, Geometry and svBRDF From a Handheld Scanner","Carolin Schmitt, Simon Donne, Gernot Riegler, Vladlen Koltun, Andreas Geiger"
Warp to the Future: Joint Forecasting of Features and Feature Motion,"Josip Saric, Marin Orsic, Tonci Antunovic, Sacha Vrazic, Sinisa Segvic"
Blurry Video Frame Interpolation,"Wang Shen, Wenbo Bao, Guangtao Zhai, Li Chen, Xiongkuo Min, Zhiyong Gao"
Synchronizing Probability Measures on Rotations via Optimal Transport,"Tolga Birdal, Michael Arbel, Umut Simsekli, Leonidas J. Guibas"
Action Genome: Actions As Compositions of Spatio-Temporal Scene Graphs,"Jingwei Ji, Ranjay Krishna, Li Fei-Fei, Juan Carlos Niebles"
Self-Learning With Rectification Strategy for Human Parsing,"Tao Li, Zhiyuan Liang, Sanyuan Zhao, Jiahao Gong, Jianbing Shen"
Camera Trace Erasing,"Chang Chen, Zhiwei Xiong, Xiaoming Liu, Feng Wu"
Speech2Action: Cross-Modal Supervision for Action Recognition,"Arsha Nagrani, Chen Sun, David Ross, Rahul Sukthankar, Cordelia Schmid, Andrew Zisserman"
HigherHRNet: Scale-Aware Representation Learning for Bottom-Up Human Pose Estimation,"Bowen Cheng, Bin Xiao, Jingdong Wang, Honghui Shi, Thomas S. Huang, Lei Zhang"
