paper_title,paper_authors
Sub-Frame Appearance and 6D Pose Estimation of Fast Moving Objects,"Denys Rozumnyi, Jan Kotera, Filip Sroubek, Jiri Matas"
"Use the Force, Luke! Learning to Predict Physical Forces by Simulating Effects","Kiana Ehsani, Shubham Tulsiani, Saurabh Gupta, Ali Farhadi, Abhinav Gupta"
Tangent Images for Mitigating Spherical Distortion,"Marc Eder, Mykhailo Shvets, John Lim, Jan-Michael Frahm"
TetraTSDF: 3D Human Reconstruction From a Single Image With a Tetrahedral Outer Shell,"Hayato Onizuka, Zehra Hayirci, Diego Thomas, Akihiro Sugimoto, Hideaki Uchiyama, Rin-ichiro Taniguchi"
Articulation-Aware Canonical Surface Mapping,"Nilesh Kulkarni, Abhinav Gupta, David F. Fouhey, Shubham Tulsiani"
Normalized and Geometry-Aware Self-Attention Network for Image Captioning,"Longteng Guo, Jing Liu, Xinxin Zhu, Peng Yao, Shichen Lu, Hanqing Lu"
Flow2Stereo: Effective Self-Supervised Learning of Optical Flow and Stereo Matching,"Pengpeng Liu, Irwin King, Michael R. Lyu, Jia Xu"
NeuralScale: Efficient Scaling of Neurons for Resource-Constrained Deep Neural Networks,"Eugene Lee, Chen-Yi Lee"
Deepstrip: High-Resolution Boundary Refinement,"Peng Zhou, Brian Price, Scott Cohen, Gregg Wilensky, Larry S. Davis"
Local Class-Specific and Global Image-Level Generative Adversarial Networks for Semantic-Guided Scene Generation,"Hao Tang, Dan Xu, Yan Yan, Philip H.S. Torr, Nicu Sebe"
Transfer Learning From Synthetic to Real-Noise Denoising With Adaptive Instance Normalization,"Yoonsik Kim, Jae Woong Soh, Gu Yong Park, Nam Ik Cho"
xMUDA: Cross-Modal Unsupervised Domain Adaptation for 3D Semantic Segmentation,"Maximilian Jaritz, Tuan-Hung Vu, Raoul de Charette, Emilie Wirbel, Patrick Perez"
Fast Soft Color Segmentation,"Naofumi Akimoto, Huachun Zhu, Yanghua Jin, Yoshimitsu Aoki"
Variational Context-Deformable ConvNets for Indoor Scene Parsing,"Zhitong Xiong, Yuan Yuan, Nianhui Guo, Qi Wang"
Seeing without Looking: Contextual Rescoring of Object Detections for AP Maximization,"Lourenco V. Pato, Renato Negrinho, Pedro M. Q. Aguiar"
Partial Weight Adaptation for Robust DNN Inference,"Xiufeng Xie, Kyu-Han Kim"
